# Hobyah source file, "ok-022-sectype-changes.txt"
# Timestamp & user, "10:40 on 27 Apr 2024 by ecb"
# Project number, "4"
# Project name, "Hobyah documentation images"
# Project description, "Files that generate images used in the documentation"
# 189th line, transient velocity  calc  Mainline2@0 lw:=1 "{/*0.8Backwards airflow}"
# Data file name, "ok-022-sectype-changes-p1-g1-c2.txt"
#
# Hobyah transient QA
# Name of binary, "ok-022-sectype-changes.hbn"
# Source name, "ok-022-sectype-changes.txt"
# Project no., "4"
# Project name, "Hobyah documentation images"
# Description, "Files that generate images used in the documentation"
# Date created, "10:40 on 27 Apr 2024 by ecb"
# Property plotted, velocity
# Property description, air velocity
# Original locator, Mainline2@0
# Modified locator, (1, 0.0)
#
#
#
# X conversion key, null, 1.0
# Y conversion key, "speed1", converting m/s to FPM by dividing by 0.00508
# Auto key, Air velocity in tunnel "mainline2" at 0 m
# Key used, "{/*0.65 Air velocity in tunnel \"mainline2\" at 0 m}"
# Multiplier on the X axis (applied first), 1.0
# Offset added to the X axis (applied second), 0.0
# Multiplier on the Y axis (applied first), 1.0
# Offset added to the Y axis (applied second), 0.0
# X value at which data starts being plotted, -inf
# X value at which data stops being plotted, inf
Time,  Value,  Value,  Plot time,  Plot value
 (s) ,  (m/s),  (FPM),     (s)   ,   (m/s)
0.0,    0.0,    0.0,    0.0,    0.0
0.1,    0.0,    0.0,    0.1,    0.0
0.2,    0.0,    0.0,    0.2,    0.0
0.3,    0.0,    0.0,    0.3,    0.0
0.4,    0.0,    0.0,    0.4,    0.0
0.5,    0.0,    0.0,    0.5,    0.0
0.6,    0.0,    0.0,    0.6,    0.0
0.7,    0.0,    0.0,    0.7,    0.0
0.8,    0.0,    0.0,    0.8,    0.0
0.9,    0.0,    0.0,    0.9,    0.0
1.0,    0.0,    0.0,    1.0,    0.0
1.1,    0.0,    0.0,    1.1,    0.0
1.2,    0.0,    0.0,    1.2,    0.0
1.3,    0.0,    0.0,    1.3,    0.0
1.4,    0.0,    0.0,    1.4,    0.0
1.5,    0.0,    0.0,    1.5,    0.0
1.6,    0.0,    0.0,    1.6,    0.0
1.7,    0.0,    0.0,    1.7,    0.0
1.8,    0.0,    0.0,    1.8,    0.0
1.9,    0.0,    0.0,    1.9,    0.0
2.0,    0.0,    0.0,    2.0,    0.0
2.1,    0.0,    0.0,    2.1,    0.0
2.2,    0.0,    0.0,    2.2,    0.0
2.3,    0.0,    0.0,    2.3,    0.0
2.4,    0.0,    0.0,    2.4,    0.0
2.5,    0.0,    0.0,    2.5,    0.0
2.6,    0.0,    0.0,    2.6,    0.0
2.7,    0.0,    0.0,    2.7,    0.0
2.8,    0.0,    0.0,    2.8,    0.0
2.9,    0.0,    0.0,    2.9,    0.0
3.0,    0.0,    0.0,    3.0,    0.0
3.1,    0.0,    0.0,    3.1,    0.0
3.2,    0.0,    0.0,    3.2,    0.0
3.3,    0.0,    0.0,    3.3,    0.0
3.4,    0.0,    0.0,    3.4,    0.0
3.5,    0.0,    0.0,    3.5,    0.0
3.6,    0.0,    0.0,    3.6,    0.0
3.7,    0.0,    0.0,    3.7,    0.0
3.8,    0.0,    0.0,    3.8,    0.0
3.9,    0.0,    0.0,    3.9,    0.0
4.0,    0.0,    0.0,    4.0,    0.0
4.1,    0.0,    0.0,    4.1,    0.0
4.2,    -0.007612553717251039,    -1.4985341963092595,    4.2,    -0.007612553717251039
4.3,    -0.0264097088247961,    -5.198761579684271,    4.3,    -0.0264097088247961
4.4,    -0.05016434558095932,    -9.874871177354196,    4.4,    -0.05016434558095932
4.5,    -0.07063505705744526,    -13.90453879083568,    4.5,    -0.07063505705744526
4.6,    -0.08416304540739934,    -16.567528623503808,    4.6,    -0.08416304540739934
4.7,    -0.09147407463334747,    -18.00670760498966,    4.7,    -0.09147407463334747
4.8,    -0.09483908504056851,    -18.669111228458366,    4.8,    -0.09483908504056851
4.9,    -0.09619529495295391,    -18.936081683652343,    4.9,    -0.09619529495295391
5.0,    -0.09668362007478871,    -19.03220867613951,    5.0,    -0.09668362007478871
5.1,    -0.09684303817224518,    -19.063590191386847,    5.1,    -0.09684303817224518
5.2,    -0.09689069066135166,    -19.072970602628278,    5.2,    -0.09689069066135166
5.3,    -0.09690374859018648,    -19.07554106106033,    5.3,    -0.09690374859018648
5.4,    -0.09690693416474676,    -19.076168142666685,    5.4,    -0.09690693416474676
5.5,    -0.09690749855631979,    -19.076279243370035,    5.5,    -0.09690749855631979
5.6,    -0.09690740975799633,    -19.076261763385105,    5.6,    -0.09690740975799633
5.7,    -0.09690716779434834,    -19.076214132745736,    5.7,    -0.09690716779434834
5.8,    -0.09690689134861737,    -19.076159714294757,    5.8,    -0.09690689134861737
5.9,    -0.09690660780745061,    -19.07610389910445,    5.9,    -0.09690660780745061
6.0,    -0.09690632257843822,    -19.076047751661065,    6.0,    -0.09690632257843822
6.1,    -0.09690603717983214,    -19.075991570833096,    6.1,    -0.09690603717983214
6.2,    -0.09690575156976584,    -19.0759353483791,    6.2,    -0.09690575156976584
6.3,    -0.09690546603178576,    -19.07587914011531,    6.3,    -0.09690546603178576
6.4,    -0.09690518037211007,    -19.07582290789568,    6.4,    -0.09690518037211007
6.5,    -0.09690489476980675,    -19.075766686969832,    6.5,    -0.09690489476980675
6.6,    -0.09690460907512559,    -19.075710447859368,    6.6,    -0.09690460907512559
6.7,    -0.09690432341833607,    -19.075654216207887,    6.7,    -0.09690432341833607
6.8,    -0.09690403769224604,    -19.075597970914572,    6.8,    -0.09690403769224604
6.9,    -0.09690375198938926,    -19.075541730194736,    6.9,    -0.09690375198938926
7.0,    -0.0969034662341412,    -19.075485479161653,    7.0,    -0.0969034662341412
7.1,    -0.0969031804942177,    -19.075429231145215,    7.1,    -0.0969031804942177
7.2,    -0.09690289471123442,    -19.075372974652446,    7.2,    -0.09690289471123442
7.3,    -0.09690260893667124,    -19.075316719817174,    7.3,    -0.09690260893667124
7.4,    -0.09690232312958733,    -19.075260458580182,    7.4,    -0.09690232312958733
7.5,    -0.09690203732650467,    -19.075204198130837,    7.5,    -0.09690203732650467
7.6,    -0.09690175149613364,    -19.075147932309772,    7.6,    -0.09690175149613364
7.7,    -0.0969014656669643,    -19.075091666725253,    7.7,    -0.0969014656669643
7.8,    -0.09690117981724132,    -19.075035397094748,    7.8,    -0.09690117981724132
7.9,    -0.09690089396581218,    -19.07497912712838,    7.9,    -0.09690089396581218
8.0,    -0.09690060809773231,    -19.07492285388431,    8.0,    -0.09690060809773231
8.1,    -0.09690032222743494,    -19.07486658020373,    8.1,    -0.09690032222743494
8.2,    -0.09690003634240318,    -19.074810303622673,    8.2,    -0.09690003634240318
8.3,    -0.09689975045360866,    -19.074754026300916,    8.3,    -0.09689975045360866
