# Hobyah source file, "ok-022-sectype-changes-verification.txt"
# Timestamp & user, "20:00 on 6 Aug 2024 by ecb"
# Project number, "4"
# Project name, "Hobyah documentation images"
# Project description, "Files that generate images used in the documentation"
# 187th line, transient velocity  calc  Mainline2@0 lw:=1 "{/*0.8Backwards airflow}"
# Data file name, "ok-022-sectype-changes-verification-p1-g1-c2.txt"
#
# Hobyah transient QA
# Name of binary, "ok-022-sectype-changes-verification.hbn"
# Source name, "ok-022-sectype-changes-verification.txt"
# Project no., "4"
# Project name, "Hobyah documentation images"
# Description, "Files that generate images used in the documentation"
# Date created, "20:00 on 6 Aug 2024 by ecb"
# Property plotted, velocity
# Property description, air velocity
# Original locator, Mainline2@0
# Modified locator, (1, 0.0)
#
#
#
# X conversion key, null, 1.0
# Y conversion key, "speed1", converting m/s to FPM by dividing by 0.00508
# Auto key, Air velocity in tunnel "mainline2" at 0 m
# Key used, "{/*0.65 Air velocity in tunnel \"mainline2\" at 0 m}"
# Multiplier on the X axis (applied first), 1.0
# Offset added to the X axis (applied second), 0.0
# Multiplier on the Y axis (applied first), 1.0
# Offset added to the Y axis (applied second), 0.0
# X value at which data starts being plotted, -inf
# X value at which data stops being plotted, inf
Time,  Value,  Value,  Plot time,  Plot value
 (s) ,  (m/s),  (FPM),     (s)   ,   (m/s)
0.0,    0.0,    0.0,    0.0,    0.0
0.1,    0.0,    0.0,    0.1,    0.0
0.2,    0.0,    0.0,    0.2,    0.0
0.3,    0.0,    0.0,    0.3,    0.0
0.4,    0.0,    0.0,    0.4,    0.0
0.5,    0.0,    0.0,    0.5,    0.0
0.6,    0.0,    0.0,    0.6,    0.0
0.7,    0.0,    0.0,    0.7,    0.0
0.8,    0.0,    0.0,    0.8,    0.0
0.9,    0.0,    0.0,    0.9,    0.0
1.0,    0.0,    0.0,    1.0,    0.0
1.1,    0.0,    0.0,    1.1,    0.0
1.2,    0.0,    0.0,    1.2,    0.0
1.3,    0.0,    0.0,    1.3,    0.0
1.4,    0.0,    0.0,    1.4,    0.0
1.5,    0.0,    0.0,    1.5,    0.0
1.6,    0.0,    0.0,    1.6,    0.0
1.7,    0.0,    0.0,    1.7,    0.0
1.8,    0.0,    0.0,    1.8,    0.0
1.9,    0.0,    0.0,    1.9,    0.0
2.0,    0.0,    0.0,    2.0,    0.0
2.1,    0.0,    0.0,    2.1,    0.0
2.2,    0.0,    0.0,    2.2,    0.0
2.3,    0.0,    0.0,    2.3,    0.0
2.4,    0.0,    0.0,    2.4,    0.0
2.5,    0.0,    0.0,    2.5,    0.0
2.6,    0.0,    0.0,    2.6,    0.0
2.7,    0.0,    0.0,    2.7,    0.0
2.8,    0.0,    0.0,    2.8,    0.0
2.9,    0.0,    0.0,    2.9,    0.0
3.0,    0.0,    0.0,    3.0,    0.0
3.1,    0.0,    0.0,    3.1,    0.0
3.2,    0.0,    0.0,    3.2,    0.0
3.3,    0.0,    0.0,    3.3,    0.0
3.4,    0.0,    0.0,    3.4,    0.0
3.5,    0.0,    0.0,    3.5,    0.0
3.6,    0.0,    0.0,    3.6,    0.0
3.7,    0.0,    0.0,    3.7,    0.0
3.8,    0.0,    0.0,    3.8,    0.0
3.9,    0.0,    0.0,    3.9,    0.0
4.0,    0.0,    0.0,    4.0,    0.0
4.1,    0.0,    0.0,    4.1,    0.0
4.2,    -0.007612553717251039,    -1.4985341963092595,    4.2,    -0.007612553717251039
4.3,    -0.0264097088247961,    -5.198761579684271,    4.3,    -0.0264097088247961
4.4,    -0.05016434558095932,    -9.874871177354196,    4.4,    -0.05016434558095932
4.5,    -0.07063505705744524,    -13.904538790835677,    4.5,    -0.07063505705744524
4.6,    -0.08416304540739934,    -16.567528623503808,    4.6,    -0.08416304540739934
4.7,    -0.09147407463334746,    -18.006707604989657,    4.7,    -0.09147407463334746
4.8,    -0.09483908504056851,    -18.669111228458366,    4.8,    -0.09483908504056851
4.9,    -0.09619529495295391,    -18.936081683652343,    4.9,    -0.09619529495295391
5.0,    -0.09668362007478871,    -19.03220867613951,    5.0,    -0.09668362007478871
5.1,    -0.09684303817224518,    -19.063590191386847,    5.1,    -0.09684303817224518
5.2,    -0.09689069066135371,    -19.072970602628683,    5.2,    -0.09689069066135371
5.3,    -0.09690374859056074,    -19.075541061134004,    5.3,    -0.09690374859056074
5.4,    -0.09690693416533215,    -19.076168142781917,    5.4,    -0.09690693416533215
5.5,    -0.09690749855677054,    -19.076279243458767,    5.5,    -0.09690749855677054
5.6,    -0.09690740975778299,    -19.07626176334311,    5.6,    -0.09690740975778299
5.7,    -0.09690716779365476,    -19.076214132609202,    5.7,    -0.09690716779365476
5.8,    -0.09690689134788091,    -19.076159714149785,    5.8,    -0.09690689134788091
5.9,    -0.09690660780676562,    -19.07610389896961,    5.9,    -0.09690660780676562
6.0,    -0.09690632257828706,    -19.07604775163131,    6.0,    -0.09690632257828706
6.1,    -0.0969060371802941,    -19.075991570924035,    6.1,    -0.0969060371802941
6.2,    -0.0969057515698536,    -19.075935348396374,    6.2,    -0.0969057515698536
6.3,    -0.09690546603221852,    -19.075879140200495,    6.3,    -0.09690546603221852
6.4,    -0.09690518037278514,    -19.07582290802857,    6.4,    -0.09690518037278514
6.5,    -0.09690489476921277,    -19.075766686852905,    6.5,    -0.09690489476921277
6.6,    -0.09690460907488131,    -19.075710447811282,    6.6,    -0.09690460907488131
6.7,    -0.09690432341778103,    -19.075654216098627,    6.7,    -0.09690432341778103
6.8,    -0.09690403769175686,    -19.07559797081828,    6.8,    -0.09690403769175686
6.9,    -0.0969037519888368,    -19.075541730085984,    6.9,    -0.0969037519888368
7.0,    -0.09690346623358943,    -19.075485479053036,    7.0,    -0.09690346623358943
7.1,    -0.09690318049370682,    -19.075429231044648,    7.1,    -0.09690318049370682
7.2,    -0.0969028947107207,    -19.075372974551318,    7.2,    -0.0969028947107207
7.3,    -0.09690260893608248,    -19.075316719701274,    7.3,    -0.09690260893608248
7.4,    -0.09690232312800647,    -19.07526045826899,    7.4,    -0.09690232312800647
7.5,    -0.09690203732475297,    -19.075204197786018,    7.5,    -0.09690203732475297
7.6,    -0.09690175149508902,    -19.075147932104137,    7.6,    -0.09690175149508902
7.7,    -0.09690146566691878,    -19.075091666716293,    7.7,    -0.09690146566691878
7.8,    -0.09690117981712108,    -19.07503539707108,    7.8,    -0.09690117981712108
7.9,    -0.09690089396593903,    -19.07497912715335,    7.9,    -0.09690089396593903
8.0,    -0.09690060809751913,    -19.07492285384235,    8.0,    -0.09690060809751913
8.1,    -0.09690032222695862,    -19.074866580109962,    8.1,    -0.09690032222695862
8.2,    -0.09690003634213543,    -19.074810303569965,    8.2,    -0.09690003634213543
