# Hobyah source file, "ok-041-risetime-verification.txt"
# Timestamp & user, "19:55 on 6 Aug 2024 by ecb"
# Project number, "4"
# Project name, "Hobyah documentation images"
# Project description, "Files that generate images used in the documentation"
# 128th line, transient velocity  calc  Mainline2@0 lt:=2 lw:=2 "{/*0.8Backwards airflow, compressible calc}"
# Data file name, "ok-041-risetime-verification-p1-g1-c3.txt"
#
# Hobyah transient QA
# Name of binary, "ok-041-risetime-verification.hbn"
# Source name, "ok-041-risetime-verification.txt"
# Project no., "4"
# Project name, "Hobyah documentation images"
# Description, "Files that generate images used in the documentation"
# Date created, "19:55 on 6 Aug 2024 by ecb"
# Property plotted, velocity
# Property description, air velocity
# Original locator, Mainline2@0
# Modified locator, (0, 0.0)
#
#
#
# X conversion key, null, 1.0
# Y conversion key, "speed1", converting m/s to FPM by dividing by 0.00508
# Auto key, Air velocity in tunnel "mainline2" at 0 m
# Key used, '"{/*0.8Backwards airflow, compressible calc}"'
# Multiplier on the X axis (applied first), 1.0
# Offset added to the X axis (applied second), 0.0
# Multiplier on the Y axis (applied first), 1.0
# Offset added to the Y axis (applied second), 0.0
# X value at which data starts being plotted, -inf
# X value at which data stops being plotted, inf
Time,  Value,  Value,  Plot time,  Plot value
 (s) ,  (m/s),  (FPM),     (s)   ,   (m/s)
0.0,    0.0,    0.0,    0.0,    0.0
0.1,    0.0,    0.0,    0.1,    0.0
0.2,    0.0,    0.0,    0.2,    0.0
0.3,    0.0,    0.0,    0.3,    0.0
0.4,    0.0,    0.0,    0.4,    0.0
0.5,    0.0,    0.0,    0.5,    0.0
0.6,    0.0,    0.0,    0.6,    0.0
0.7,    0.0,    0.0,    0.7,    0.0
0.8,    0.0,    0.0,    0.8,    0.0
0.9,    0.0,    0.0,    0.9,    0.0
1.0,    0.0,    0.0,    1.0,    0.0
1.1,    0.0,    0.0,    1.1,    0.0
1.2,    0.0,    0.0,    1.2,    0.0
1.3,    0.0,    0.0,    1.3,    0.0
1.4,    0.0,    0.0,    1.4,    0.0
1.5,    0.0,    0.0,    1.5,    0.0
1.6,    0.0,    0.0,    1.6,    0.0
1.7,    0.0,    0.0,    1.7,    0.0
1.8,    0.0,    0.0,    1.8,    0.0
1.9,    0.0,    0.0,    1.9,    0.0
2.0,    0.0,    0.0,    2.0,    0.0
2.1,    0.0,    0.0,    2.1,    0.0
2.2,    0.0,    0.0,    2.2,    0.0
2.3,    0.0,    0.0,    2.3,    0.0
2.4,    0.0,    0.0,    2.4,    0.0
2.5,    0.0,    0.0,    2.5,    0.0
2.6,    0.0,    0.0,    2.6,    0.0
2.7,    0.0,    0.0,    2.7,    0.0
2.8,    0.0,    0.0,    2.8,    0.0
2.9,    0.0,    0.0,    2.9,    0.0
3.0,    0.0,    0.0,    3.0,    0.0
3.1,    0.0,    0.0,    3.1,    0.0
3.2,    0.0,    0.0,    3.2,    0.0
3.3,    0.0,    0.0,    3.3,    0.0
3.4,    0.0,    0.0,    3.4,    0.0
3.5,    0.0,    0.0,    3.5,    0.0
3.6,    0.0,    0.0,    3.6,    0.0
3.7,    0.0,    0.0,    3.7,    0.0
3.8,    0.0,    0.0,    3.8,    0.0
3.9,    0.0,    0.0,    3.9,    0.0
4.0,    0.0,    0.0,    4.0,    0.0
4.1,    0.0,    0.0,    4.1,    0.0
4.2,    -0.007612089727443472,    -1.4984428597329669,    4.2,    -0.007612089727443472
4.3,    -0.026407352888851,    -5.1982978127659445,    4.3,    -0.026407352888851
4.4,    -0.05015852134379516,    -9.873724673975424,    4.4,    -0.05015852134379516
4.5,    -0.0706252454059235,    -13.902607363370768,    4.5,    -0.0706252454059235
4.6,    -0.08414985164255942,    -16.56493142570067,    4.6,    -0.08414985164255942
4.7,    -0.09145850785061332,    -18.00364327767979,    4.7,    -0.09145850785061332
4.8,    -0.0948219641618219,    -18.665740976736593,    4.8,    -0.0948219641618219
4.9,    -0.09617710854570155,    -18.932501682224714,    4.9,    -0.09617710854570155
5.0,    -0.09666459902464254,    -19.028464374929634,    5.0,    -0.09666459902464254
5.1,    -0.09682327959068486,    -19.059700706827726,    5.1,    -0.09682327959068486
5.2,    -0.09687022743541049,    -19.06894240854537,    5.2,    -0.09687022743541049
5.3,    -0.09688259317910622,    -19.071376610060277,    5.3,    -0.09688259317910622
5.4,    -0.09688508870842269,    -19.071867855988717,    5.4,    -0.09688508870842269
5.5,    -0.09688496485726134,    -19.071843475838843,    5.5,    -0.09688496485726134
5.6,    -0.09688418714614068,    -19.07169038309856,    5.6,    -0.09688418714614068
5.7,    -0.09688325696036178,    -19.071507275661766,    5.7,    -0.09688325696036178
5.8,    -0.09688229163152856,    -19.071317250300897,    5.8,    -0.09688229163152856
5.9,    -0.09688131966754139,    -19.071125918807358,    5.9,    -0.09688131966754139
6.0,    -0.09688034551532988,    -19.070934156560998,    6.0,    -0.09688034551532988
6.1,    -0.09687937152387269,    -19.07074242595919,    6.1,    -0.09687937152387269
6.2,    -0.0968783969488601,    -19.07055058048427,    6.2,    -0.0968783969488601
6.3,    -0.09687742268340735,    -19.070358795946326,    6.3,    -0.09687742268340735
6.4,    -0.09687644802166206,    -19.070166933398042,    6.4,    -0.09687644802166206
6.5,    -0.09687547358593684,    -19.069975115341897,    6.5,    -0.09687547358593684
6.6,    -0.09687449885592227,    -19.069783239354777,    6.6,    -0.09687449885592227
6.7,    -0.09687352428365337,    -19.06959139441995,    6.7,    -0.09687352428365337
6.8,    -0.09687254949301786,    -19.06939950649958,    6.8,    -0.09687254949301786
6.9,    -0.09687157481442368,    -19.06920764063458,    6.9,    -0.09687157481442368
7.0,    -0.09687059997078992,    -19.06901574228148,    7.0,    -0.09687059997078992
7.1,    -0.09686962520521639,    -19.068823859294564,    7.1,    -0.09686962520521639
7.2,    -0.0968686503167596,    -19.068631952118032,    7.2,    -0.0968686503167596
7.3,    -0.09686767548326339,    -19.068440055760508,    7.3,    -0.09686767548326339
7.4,    -0.09686670055748672,    -19.068248141237543,    7.4,    -0.09686670055748672
7.5,    -0.09686572567010251,    -19.06805623427215,    7.5,    -0.09686572567010251
7.6,    -0.09686475071237435,    -19.067864313459516,    7.6,    -0.09686475071237435
7.7,    -0.09686377578338498,    -19.06767239830413,    7.7,    -0.09686377578338498
7.8,    -0.09686280080177775,    -19.067480472790894,    7.8,    -0.09686280080177775
7.9,    -0.09686182584072442,    -19.067288551323703,    7.9,    -0.09686182584072442
8.0,    -0.09686085084215601,    -19.067096622471656,    8.0,    -0.09686085084215601
8.1,    -0.0968598758574043,    -19.066904696339428,    8.1,    -0.0968598758574043
8.2,    -0.0968589008435273,    -19.066712764473877,    8.2,    -0.0968589008435273
8.3,    -0.09685792584297512,    -19.066520835231323,    8.3,    -0.09685792584297512
