# Hobyah source file, "ok-041-risetime-verification.txt"
# Timestamp & user, "19:55 on 6 Aug 2024 by ecb"
# Project number, "4"
# Project name, "Hobyah documentation images"
# Project description, "Files that generate images used in the documentation"
# 129th line, transient vcold  slug-ve 101-1b       lt:=4 lw:=1 "{/*0.8Backwards airflow, incompressible calc}"
# Data file name, "ok-041-risetime-verification-p1-g1-c4.txt"
#
# SES transient QA
# Name of binary, "SES-068-sectype-changes-neg.sbn"
# SES file, "SES-068-sectype-changes-neg.ses"
# SES header, "SES VER 4.10           SES v4.1 file with a tunnel and a jet fan that mimics fixed pressure.            PAGE:     1"
# SES footer, "FILE: SES-068-sectype-changes-neg.ses                                         SIMULATION TIME: 21 JUL 2024 14:59:39"
# Program, SES 4.10
# Date created, "15:00 on 21 Jul 2024 by ecb"
# Property plotted, vcold
# Property description, cold air velocity
# Original locator, 101-1b
# Modified locator, 101-1b
# Segment description, 
#
#
# X conversion key, null, 1.0
# Y conversion key, "speed1", converting m/s to FPM by dividing by 0.00508.
# Auto key, Cold air velocity at subpoint 101-1b
# Key used, '"{/*0.8Backwards airflow, incompressible calc}"'
# Multiplier on the X axis (applied first), 1.0
# Offset added to the X axis (applied second), 0.0
# Multiplier on the Y axis (applied first), 1.0
# Offset added to the Y axis (applied second), 0.0
# X value at which data starts being plotted, -inf
# X value at which data stops being plotted, inf
Time,  Value,  Value,  Plot time,  Plot value
 (s) ,  (m/s),  (FPM),     (s)   ,   (m/s)
0.0,    0.0,    0.0,    0.0,    0.0
1.0,    -0.01092997677471473,    -2.151570231243057,    1.0,    -0.01092997677471473
2.0,    -0.02204411188528729,    -4.33939210340301,    2.0,    -0.02204411188528729
3.0,    -0.033157221044128035,    -6.5270120165606365,    3.0,    -0.033157221044128035
4.0,    -0.0442677653236393,    -8.714127032212462,    4.0,    -0.0442677653236393
5.0,    -0.05537523174795516,    -10.900636170857315,    5.0,    -0.05537523174795516
6.0,    -0.06647962031707563,    -13.086539432495202,    6.0,    -0.06647962031707563
7.0,    -0.077579392103403,    -15.271533878622638,    7.0,    -0.077579392103403
8.0,    -0.08867454710693728,    -17.45561950923962,    8.0,    -0.08867454710693728
9.0,    -0.09976354640008078,    -19.638493385842672,    9.0,    -0.09976354640008078
10.0,    -0.11084690295869938,    -21.820256487932948,    10.0,    -0.11084690295869938
11.0,    -0.12192256487932951,    -24.000504897505806,    11.0,    -0.12192256487932951
12.0,    -0.13299104513783702,    -26.179339594062405,    12.0,    -0.13299104513783702
13.0,    -0.14405080480662427,    -28.356457639099265,    13.0,    -0.14405080480662427
14.0,    -0.1551013309098253,    -30.531758053115215,    14.0,    -0.1551013309098253
15.0,    -0.16614262344744016,    -32.705240836110264,    15.0,    -0.16614262344744016
16.0,    -0.17717314349187116,    -34.876603049580936,    16.0,    -0.17717314349187116
17.0,    -0.18819237806725236,    -37.04574371402605,    17.0,    -0.18819237806725236
18.0,    -0.1992003271735838,    -39.21266282944563,    18.0,    -0.1992003271735838
19.0,    -0.2101954518832677,    -41.37705745733616,    19.0,    -0.2101954518832677
20.0,    -0.22117775219630414,    -43.538927597697665,    20.0,    -0.22117775219630414
21.0,    -0.23214620216096135,    -45.698071291527825,    21.0,    -0.23214620216096135
22.0,    -0.2430997758255074,    -47.85428657982429,    22.0,    -0.2430997758255074
23.0,    -0.25403898616580833,    -50.00767444208825,    23.0,    -0.25403898616580833
24.0,    -0.2649617812784005,    -52.15783096031505,    24.0,    -0.2649617812784005
25.0,    -0.2758686741391497,    -54.30485711400585,    25.0,    -0.2758686741391497
26.0,    -0.28675863879632435,    -56.448550944158335,    26.0,    -0.28675863879632435
27.0,    -0.29763064929819244,    -58.588710491770165,    27.0,    -0.29763064929819244
28.0,    -0.3084847056447541,    -60.72533575684135,    28.0,    -0.3084847056447541
29.0,    -0.3193192689084116,    -62.85812380086843,    29.0,    -0.3193192689084116
30.0,    -0.3301348520650308,    -64.98717560335251,    30.0,    -0.3301348520650308
31.0,    -0.340929916187014,    -67.11218822579016,    31.0,    -0.340929916187014
32.0,    -0.3517044612743614,    -69.23316166818137,    32.0,    -0.3517044612743614
33.0,    -0.3624574613753408,    -71.34989397152377,    33.0,    -0.3624574613753408
34.0,    -0.37318840351408666,    -73.46228415631627,    34.0,    -0.37318840351408666
35.0,    -0.3838967747147329,    -75.57023124305765,    35.0,    -0.3838967747147329
36.0,    -0.39458206200141366,    -77.67363425224679,    36.0,    -0.39458206200141366
37.0,    -0.40524375239826316,    -79.77239220438251,    37.0,    -0.40524375239826316
38.0,    -0.4158808199535494,    -81.86630314046248,    38.0,    -0.4158808199535494
39.0,    -0.42649275169140655,    -83.95526608098554,    39.0,    -0.42649275169140655
40.0,    -0.43707954761183476,    -86.03928102595172,    40.0,    -0.43707954761183476
41.0,    -0.4476396687872362,    -88.11804503685751,    41.0,    -0.4476396687872362
42.0,    -0.45817362819347673,    -90.19165909320408,    42.0,    -0.45817362819347673
43.0,    -0.46868039987882454,    -92.25992123598908,    43.0,    -0.46868039987882454
44.0,    -0.4791594708674139,    -94.32273048571139,    44.0,    -0.4791594708674139
45.0,    -0.4896098152075129,    -96.37988488336867,    45.0,    -0.4896098152075129
46.0,    -0.5000314328991216,    -98.43138442896092,    46.0,    -0.5000314328991216
47.0,    -0.5104238109663738,    -100.47712814298696,    47.0,    -0.5104238109663738
48.0,    -0.520786436433404,    -102.51701504594567,    48.0,    -0.520786436433404
49.0,    -0.5311187963243461,    -104.55094415833584,    49.0,    -0.5311187963243461
50.0,    -0.5414198646874684,    -106.5787135211552,    50.0,    -0.5414198646874684
51.0,    -0.5516896415227709,    -108.60032313440371,    51.0,    -0.5516896415227709
52.0,    -0.5619276138543875,    -110.61567201858021,    52.0,    -0.5619276138543875
53.0,    -0.5721332687064525,    -112.62465919418356,    53.0,    -0.5721332687064525
54.0,    -0.5823055801272342,    -114.62708270221145,    54.0,    -0.5823055801272342
55.0,    -0.5924450610925982,    -116.62304352216499,    55.0,    -0.5924450610925982
56.0,    -0.6025506856508128,    -118.61233969504188,    56.0,    -0.6025506856508128
57.0,    -0.6126214278501464,    -120.59476926183983,    57.0,    -0.6126214278501464
58.0,    -0.6226583136423306,    -122.57053418156113,    58.0,    -0.6226583136423306
59.0,    -0.6326592911239017,    -124.53923053620112,    59.0,    -0.6326592911239017
60.0,    -0.6426253862465919,    -126.50106028476219,    60.0,    -0.6426253862465919
61.0,    -0.6525545471069373,    -128.45561950923963,    61.0,    -0.6525545471069373
62.0,    -0.6624477996566697,    -130.40311016863575,    62.0,    -0.6624477996566697
63.0,    -0.6723041179440573,    -132.34333030394828,    63.0,    -0.6723041179440573
64.0,    -0.6821235019691002,    -134.27627991517718,    64.0,    -0.6821235019691002
